date_utc,product,vol_ensemble,forecast_price,mark_price_used,model
2025-12-12T15:03:16Z,BTCVOL50W25,37.337588,33.364869,44.68,EWMA+HAR+GARCH_ensemble
2025-12-13T00:24:45Z,BTCVOL50W25,38.131766,34.074546,44.68,EWMA+HAR+GARCH_ensemble
2025-12-15T04:46:14Z,BTCVOL50W25,38.887863,34.750194,44.68,EWMA+HAR+GARCH_ensemble
