date_utc,product,forecast_price,mark_price_used,model
2025-12-02T03:14:26Z,UERZ25,4.33003,4.33,GLM_gaussian_Regime
2025-12-03T00:42:25Z,UERZ25,4.34003,4.34,GLM_gaussian_Regime
2025-12-05T00:19:48Z,UERZ25,4.500031,4.5,GLM_gaussian_Regime
