date_utc,product,vol_ensemble,forecast_price,mark_price_used,model
2025-12-12T15:03:16Z,BTCVOL51W25,37.337588,32.483702,44.37,EWMA+HAR+GARCH_ensemble
2025-12-13T00:24:45Z,BTCVOL51W25,38.131766,33.884934,45.32,EWMA+HAR+GARCH_ensemble
2025-12-15T04:46:14Z,BTCVOL51W25,38.887863,34.556822,45.32,EWMA+HAR+GARCH_ensemble
2025-12-18T02:25:49Z,BTCVOL51W25,37.444702,34.397731,46.85,EWMA+HAR+GARCH_ensemble
2025-12-19T11:36:15Z,BTCVOL51W25,39.753889,38.810708,49.79,EWMA+HAR+GARCH_ensemble
2025-12-20T00:23:26Z,BTCVOL51W25,38.951327,38.027187,49.79,EWMA+HAR+GARCH_tstudent
